# Tiny offline Chinese candidate reranker table for mobile pinyin.
# Format: previous_context<TAB>candidate_prefix_or_text<TAB>score
我	是	90
我	在	82
我	想	78
我	觉得	76
我	没有	68
我	可以	64
你	好	92
你	在	78
你	是	72
你	要	68
你	可以	66
他	是	80
他	在	76
她	是	80
她	在	76
我们	可以	92
我们	现在	86
我们	今天	82
我们	一起	78
我们	出去	72
你们	可以	84
你们	现在	76
这个	可以	86
这个	不用	78
这个	应该	76
这个	问题	72
那个	可以	82
那个	不用	74
现在	可以	88
现在	已经	80
现在	开始	76
现在	不用	72
今天	天气	92
今天	晚上	82
今天	下午	78
今天	可以	72
明天	上午	86
明天	下午	82
明天	再	76
明天	一起	72
昨天	晚上	82
昨天	已经	78
为什么	会	88
为什么	没有	80
为什么	不能	72
怎么	了	92
怎么	办	88
怎么	样	82
是不是	可以	86
是不是	不用	80
是不是	没有	76
能不能	帮	90
能不能	先	82
能不能	直接	74
要不要	先	88
要不要	一起	82
要不要	看看	78
有没有	什么	88
有没有	办法	84
有没有	问题	80
没	有	96
没	事	90
没	关系	84
没	问题	82
没有	问题	92
没有	关系	86
没有	办法	78
没有	必要	76
不	用	96
不	要	90
不	是	86
不	知道	82
不	可以	78
有	点	94
有	没有	88
有	问题	80
好	的	96
好	多	90
好	像	82
好	吧	78
好的	我	86
好的	那	82
好的	谢谢	74
谢谢	你	92
谢谢	啦	84
麻烦	你	90
麻烦	帮	86
一起	去	92
一起	吃	86
一起	看	80
出来	一下	88
出来	吃饭	82
出去	吃饭	90
出去	玩	84
出去	一下	76
吃	饭	96
吃	什么	88
吃	了吗	82
看	一下	94
看	到了	84
看	起来	80
等	一下	96
等	会儿	88
先	这样	88
先	不用	82
先	看	78
再	说	92
再	看	86
再	等	78
会	不会	92
会	有	76
可以	的	94
可以	吗	88
可以	了	82
觉得	可以	88
觉得	不行	80
觉得	应该	76
应该	可以	86
应该	不用	78
应该	是	76
真的	可以	82
真的	不用	76
今天天气	不错	94
天气	不错	94
出去吃	饭	92
发	一下	88
帮	我	86
直接	发	80
问题	不大	82
问题	是	76
